"id","ts_code","trade_date","open","high","low","close","pre_close","vol","amount"
2162070,"399300.SZ","2018-01-02",4045.2086,4087.7789,4045.2086,4087.4012,4030.8549,146935435.0000,178402032.8000
2162069,"399300.SZ","2018-01-03",4091.4607,4140.0543,4088.7302,4111.3925,4087.4012,151852218.0000,205726889.5000
2162068,"399300.SZ","2018-01-04",4114.1213,4137.6420,4105.8858,4128.8119,4111.3925,134543794.0000,174523556.1000
2162067,"399300.SZ","2018-01-05",4133.3439,4151.2818,4123.2817,4138.7505,4128.8119,149009872.0000,185206293.2000
2162066,"399300.SZ","2018-01-08",4140.8545,4166.3182,4127.3081,4160.1595,4138.7505,173877666.0000,226403872.9000
2162065,"399300.SZ","2018-01-09",4157.5394,4191.2843,4153.5021,4189.2977,4160.1595,139034294.0000,181975079.7000
2162064,"399300.SZ","2018-01-10",4187.2044,4211.0549,4175.1355,4207.8132,4189.2977,151121666.0000,194850253.8000
2162063,"399300.SZ","2018-01-11",4197.1136,4211.7990,4181.9572,4205.5863,4207.8132,121578539.0000,170407305.9000
2162062,"399300.SZ","2018-01-12",4205.1444,4227.3923,4199.0251,4225.0010,4205.5863,111354794.0000,157606210.6000
2162061,"399300.SZ","2018-01-15",4229.8357,4262.9314,4216.3585,4225.2393,4225.0010,170907897.0000,234986586.0000
2162060,"399300.SZ","2018-01-16",4215.6247,4260.2118,4213.1275,4258.4730,4225.2393,161494963.0000,228271224.7000
2162059,"399300.SZ","2018-01-17",4261.7833,4283.3449,4230.5367,4248.1164,4258.4730,214311032.0000,284554359.8000
2162058,"399300.SZ","2018-01-18",4259.3750,4292.6372,4246.6840,4271.4168,4248.1164,172032846.0000,225289688.9000
2162057,"399300.SZ","2018-01-19",4281.9371,4316.5714,4269.6167,4285.3950,4271.4168,209490570.0000,258554725.3000
2162056,"399300.SZ","2018-01-22",4276.4811,4338.4832,4275.8977,4336.5974,4285.3950,174643195.0000,233960223.3000
2162055,"399300.SZ","2018-01-23",4346.8885,4383.5722,4346.7925,4382.6129,4336.5974,201867585.0000,257113359.8000
2162054,"399300.SZ","2018-01-24",4389.4547,4397.8196,4349.0865,4389.8853,4382.6129,219818889.0000,284470809.5000
2162053,"399300.SZ","2018-01-25",4381.9768,4392.1963,4336.2386,4365.0794,4389.8853,195374950.0000,250308091.8000
2162052,"399300.SZ","2018-01-26",4352.2211,4403.3375,4351.4871,4381.2996,4365.0794,177227237.0000,223331309.1000
2162051,"399300.SZ","2018-01-29",4387.0577,4395.9053,4287.1124,4302.0181,4381.2996,191100354.0000,256176323.7000
2162050,"399300.SZ","2018-01-30",4286.6834,4308.5115,4251.5706,4256.1021,4302.0181,139034730.0000,186650566.1000
2162049,"399300.SZ","2018-01-31",4234.1101,4287.8576,4232.7727,4275.8986,4256.1021,145210164.0000,194401798.0000
2162048,"399300.SZ","2018-02-01",4276.3425,4287.3888,4214.2909,4245.8978,4275.8986,190002934.0000,239230298.9000
2162047,"399300.SZ","2018-02-02",4213.9386,4271.7647,4181.7793,4271.2326,4245.8978,146066827.0000,191169867.2000
2162046,"399300.SZ","2018-02-05",4204.4580,4274.1464,4200.1409,4274.1464,4271.2326,161347799.0000,217360144.5000
2162045,"399300.SZ","2018-02-06",4182.3257,4211.5234,4131.5562,4148.8856,4274.1464,214910450.0000,279415083.1000
2162044,"399300.SZ","2018-02-07",4205.7365,4212.5677,4048.4228,4050.4972,4148.8856,203127493.0000,261507027.3000
2162043,"399300.SZ","2018-02-08",4022.8802,4071.6653,3974.6779,4012.0472,4050.4972,159269985.0000,199061771.9000
2162042,"399300.SZ","2018-02-09",3896.1691,3911.2917,3759.1463,3840.6527,4012.0472,206349828.0000,246774828.4000
2162041,"399300.SZ","2018-02-12",3846.2671,3907.8430,3828.0697,3890.1046,3840.6527,116182637.0000,149858043.5000
